호선,역명,요일,비율
5,굽은다리(강동구민회관앞),월,1.082735637944154
5,굽은다리(강동구민회관앞),일,0.6002277430242872
5,굽은다리(강동구민회관앞),토,0.8371746075699631
5,굽은다리(강동구민회관앞),화,1.1031338792189822
5,길동,금,1.1566956211380606
5,길동,목,1.1092507366872877
5,길동,수,1.1227085581250376
5,길동,월,1.0970518155421332
5,길동,일,0.561945709026201
5,길동,토,0.8358295992176077
5,길동,화,1.1165179602636726
5,김포공항,금,1.1193109596943582
5,김포공항,목,1.0010645720999003
5,김포공항,수,0.9821381716900368
5,김포공항,월,0.9647423076411202
5,김포공항,일,0.9392190712432826
5,김포공항,토,1.02397022449011
5,김포공항,화,0.969554693141192
5,까치산,금,1.1396755033607515
5,까치산,목,1.1209044401605557
5,까치산,수,1.1294505721421015
5,까치산,월,1.095459208274956
5,까치산,일,0.5788022728367291
5,까치산,토,0.8141519085407525
5,까치산,화,1.1215560946841534
5,답십리,금,1.1679569501735922
5,답십리,목,1.1524427708416605
5,답십리,수,1.1664117896831108
5,답십리,월,1.122759939085338
5,답십리,일,0.5137095668550238
5,답십리,토,0.7262431064648497
5,답십리,화,1.1504758768964258
5,동대문역사문화공원(DDP),금,1.2041847489216342
5,동대문역사문화공원(DDP),목,1.2432283211453656
5,동대문역사문화공원(DDP),수,1.2527021937993608
5,동대문역사문화공원(DDP),월,1.2423972863950612
5,동대문역사문화공원(DDP),일,0.3354954839368033
5,동대문역사문화공원(DDP),토,0.4683150243247532
5,동대문역사문화공원(DDP),화,1.2536769414770217
5,둔촌동,금,1.1540299838266297
5,둔촌동,목,1.1215171390122467
5,둔촌동,수,1.126962114151883
5,둔촌동,월,1.0895928144190672
5,둔촌동,일,0.5783879461555544
5,둔촌동,토,0.8057502270734065
5,둔촌동,화,1.123759775361212
5,마곡,금,1.1899712946417305
5,마곡,목,1.205401166319787
5,마곡,수,1.2157722093284833
5,마곡,월,1.1807030975513346
5,마곡,일,0.3861489050462183
5,마곡,토,0.6104678449338039
5,마곡,화,1.2115354821786422
5,마장,금,1.1506691936110929
5,마장,목,1.148122302327628
5,마장,수,1.1476622119172015
5,마장,월,1.1005641292853707
5,마장,일,0.5433653539507616
5,마장,토,0.7685392522929015
5,마장,화,1.1410775566150426
5,마천,금,1.1540749758764652
5,마천,목,1.1419812518272712
5,마천,수,1.1543562603743744
5,마천,월,1.118589277611958
5,마천,일,0.538254746085335
5,마천,토,0.7449444096261255
5,마천,화,1.1477990785984709
5,마포,금,1.1908737341984108
5,마포,목,1.198094804837961
5,마포,수,1.2133153970860382
5,마포,월,1.1625849749526078
5,마포,일,0.3870426510762541
5,마포,토,0.6464528687415008
5,마포,화,1.201635569107227
5,명일,금,1.148403245979863
5,명일,목,1.1172071117636513
5,명일,수,1.1428142278330076
5,명일,월,1.0903189811118017
5,명일,일,0.5872475246828045
5,명일,토,0.7920448584714435
5,명일,화,1.1219640501574284
5,목동,금,1.1697885950107472
5,목동,목,1.1493653069235668
5,목동,수,1.1583053515933786
5,목동,월,1.11134267523903
5,목동,일,0.501760417475342
5,목동,토,0.7598788535526229
5,목동,화,1.149558800205312
5,미사,금,1.1379898840782658
5,미사,목,1.121837662508762
5,미사,수,1.1366398695308548
5,미사,월,1.0786891840445918
5,미사,일,0.5806651191505052
5,미사,토,0.836047339457661
5,미사,화,1.1081309412293592
5,발산,금,1.134358974289142
5,발산,목,1.1573640439344497
5,발산,수,1.1780407525124132
5,발산,월,1.125584691947373
5,발산,일,0.4851824471640972
5,발산,토,0.7552489744935913
5,발산,화,1.1642201156589336
5,방이,금,1.1361845973101783
5,방이,목,1.1261793588951217
5,방이,수,1.1300001050850774
5,방이,월,1.0783630948161846
5,방이,일,0.5817372628670494
5,방이,토,0.8279372132586056
5,방이,화,1.1195983677677837
5,방화,금,1.1466634203610504
5,방화,목,1.1275519401367364
5,방화,수,1.142100177042863
5,방화,월,1.101227164068424
5,방화,일,0.5722082551040407
5,방화,토,0.7787364782050741
5,방화,화,1.1315125650818112
5,상일동,금,1.172669267704393
5,상일동,목,1.1568565690260793
5,상일동,수,1.1742922648166811
5,상일동,월,1.1387895110240218
5,상일동,일,0.4824084901258175
5,상일동,토,0.7133782730306726
5,상일동,화,1.1616056242723345
5,서대문,금,1.2085690012775108
5,서대문,목,1.2512039201174858
5,서대문,수,1.2639840018819375
5,서대문,월,1.2192041814295238
5,서대문,일,0.3113374934911877
5,서대문,토,0.4829730825169049
5,서대문,화,1.2627283192854484
5,송정,금,1.139907229408288
5,송정,목,1.104073167946643
5,송정,수,1.1121199903012111
5,송정,월,1.092864797766006
5,송정,일,0.5971731084970693
5,송정,토,0.8438785690151988
5,송정,화,1.1099831370655842
5,신금호,금,1.1723542923635528
5,신금호,목,1.1570213753871277
5,신금호,수,1.1658102314269785
5,신금호,월,1.116158428684677
5,신금호,일,0.5004549082329597
5,신금호,토,0.730596967025389
5,신금호,화,1.1576037968793162
5,신길,금,1.1697622390270848
5,신길,목,1.1525949233654615
5,신길,수,1.1528189249037073
5,신길,월,1.1204353681389536
5,신길,일,0.50672957364937
5,신길,토,0.7513057349806299
5,신길,화,1.1463532359347932
5,신정(은행정),금,1.1622841166449935
5,신정(은행정),목,1.1508802516175796
5,신정(은행정),수,1.1644447513773966
5,신정(은행정),월,1.128233799348137
5,신정(은행정),일,0.502398985204157
5,신정(은행정),토,0.7409755289460772
5,신정(은행정),화,1.150782566861658
5,아차산(어린이대공원후문),금,1.1096655637208872
5,아차산(어린이대공원후문),목,1.077560912133274
5,아차산(어린이대공원후문),수,1.0783835283383556
5,아차산(어린이대공원후문),월,1.017776925625364
5,아차산(어린이대공원후문),일,0.7168697267893618
5,아차산(어린이대공원후문),토,0.9309313371629002
5,아차산(어린이대공원후문),화,1.0688120062298574
5,애오개,금,1.1926914236853836
5,애오개,목,1.1888480480957409
5,애오개,수,1.205418339936717
5,애오개,월,1.1444895523410767
5,애오개,일,0.4316018122544944
5,애오개,토,0.6423857379765704
5,애오개,화,1.1945650857100163
5,양평,금,1.1984006671622205
5,양평,목,1.1981936558188964
5,양평,수,1.2153174920900862
5,양평,월,1.1808887728037043
5,양평,일,0.406394835839708
5,양평,토,0.5970417152981847
5,양평,화,1.2037628609872004
5,여의나루,금,1.116578613123279
5,여의나루,목,0.9527289339892848
5,여의나루,수,0.9715776948160556
5,여의나루,월,0.9094731656957435
5,여의나루,일,0.8989106115254243
5,여의나루,토,1.19258985967442
5,여의나루,화,0.9581411211757928
5,여의도,금,1.202696043057086
5,여의도,목,1.2195270546229002
5,여의도,수,1.2415141269346754
5,여의도,월,1.193623279672292
5,여의도,일,0.3515762173855538
5,여의도,토,0.5540053177659401
5,여의도,화,1.2370579605615524
5,영등포구청,금,1.1929453768383325
5,영등포구청,목,1.1968777098343588
5,영등포구청,수,1.202684325407708
5,영등포구청,월,1.1796630672892552
5,영등포구청,일,0.413859160395558
