버스정류소명,버스정류소ID
"동부아동상담소, 둥국대부속중고",6258
장안삼성래미안2차아파트,6259
장안삼성래미안2차아파트.성복교회,6260
장안현대홈타운아파트앞,6261
구민회관앞,6262
파라브아파트,6263
장안현대홈타운상가,6264
장안현대홈타운앞,6265
장안치안센터,6266
장안치안센터,6267
장평중학교,6268
회기역종점,6269
경희대입구,6270
경희대입구,6271
농촌경제연구원,6272
농촌경제연구원,6273
한국과학기술원.홍릉초등학교,6274
한국과학기술원.홍릉초등학교,6275
국방연구원,6276
국방연구원,6277
세종대왕기념관,6278
세종대왕기념관,6279
홍릉사거리,6280
홍릉사거리,6281
동대문경찰서,6282
동대문경찰서,6283
현대코아,6284
현대코아,6285
동대문중앙새마을금고,6286
동대문중앙새마을금고,6287
제기동주민센터앞,6288
제기동한신아파트,6289
제기시장,6290
제기시장,6291
외대역앞,6293
외대역앞,6294
이경시장,6295
"청량리한신아파트, 청량사입구",6297
전농동SK아파트,6298
벽산아파트,6299
제기동천주교회,6300
이문동쌍용아파트,6301
이문동쌍용아파트,6302
이문1동주민센터,6303
전농동SK아파트,6304
한국산업인력공단서울지역본부,6308
휘경공고휘경주공아파트,6309
e편한세상청계센트럴포레아파트,6310
한천로입구,6311
래미안장안1차아파트앞,6313
장평중학교앞,6314
청량리미주상가앞,6315
동대문구청앞,6316
종로사약국,6318
